Country,Year,Goals
Argentina,1930,18
Argentina,1978,15
Argentina,1986,14
Argentina,1990,5
Argentina,2014,10
Brazil,1938,14
Brazil,1950,22
Brazil,1958,16
Brazil,1962,14
Brazil,1970,19
Brazil,1974,6
Brazil,1978,10
Brazil,1994,11
Brazil,1998,14
Brazil,2002,18
Brazil,2014,15
France,1958,23
France,1982,16
France,1986,12
France,1998,15
France,2006,9
Germany,1934,11
Germany,2002,14
Germany,2006,14
Germany,2010,16
Germany,2014,29
Germany FR,1954,25
Germany FR,1958,12
Germany FR,1966,15
Germany FR,1970,17
Germany FR,1974,13
Germany FR,1982,12
Germany FR,1986,8
Germany FR,1990,15
Italy,1934,12
Italy,1938,11
Italy,1970,10
Italy,1978,9
Italy,1982,12
Italy,1990,10
Italy,1994,8
Italy,2006,12
Netherlands,1974,15
Netherlands,1978,15
Netherlands,1998,13
Netherlands,2010,12
Netherlands,2014,20
Uruguay,1930,15
Uruguay,1950,15
Uruguay,1954,16
Uruguay,1970,4
Uruguay,2010,11
